texts,scores
Credit to There's just something about dudes covered in blood. times 2,0
"Great from . . . . If you have no systems, structure, or processes around anything- how can you even track where the funds are flowing?   I know you love the thing you provide but youre ignoring the business, marketing and systems of that thing.   Start investing in yourself and your business. Stop trying to bootstrap and do everything thats cheap or free. Wheres the actual money coming in? Where is there traction? Stop trying to be everywhere all at once.   Its time to figure out whats actually paying the bills and stop spinning your wheels.   Head to the link in 's bio and grab your free business organization checklist!",0
The worst nightmare u could ever see,0
Personalised cutouts Size 12*15 inch Price- 999 Plus shipping product available on our page or hub at minimum prices soo follow this page and share as maximum as you can and contact 8755437771 /7895610369 /8171375375 for any QUERY . (Esc) Fb link Instagram link,0
"I have been told that I cant do what I want to do because I am a woman, and I have been told that I have only been allowed to do what I have done because I am a woman. - , Lab Girl Read blog post evulving.com Photo by . . .",0
If only Jess could take photos of me like I do of him lmao,0
Love this one ? Comment Below. .....All rights and credits reserved to the respective owner(s) Follow |     Daily Posts - | Fitness Queen | | Follow -- -- -- .... Hashtags search --,0
"ASICS GEL LTYTE 3 SUEDE for Cash on delivery directly place your order from website Next to original All sizes available prepaid Price Rs 2400/- only with Free shipping Dm for order Do not compare with market quality Check weight of shoes, also check the finishing and you will understand why I always say not the market quality05",0
"Whats your favorite sport? Mines eating nachos.  . . . Follow for feminist art, clothing and community  . . .",0
"Were proud to be a social enterprise! Social enterprises are businesses building a better world through trade. In our stories this week, weve been sharing some info about what social enterprises do, as well as shouting out some brilliant, female-run social enterprises. You can check out the highlight on our profile and use the hashtag to join the campaign. If you know any fantastic social enterprises we should know about, tag them below! . . .",0
"- Kardashians - love em or hate em, it doesnt matter. Because when a group of entrepreneurial women are compared to one another based on nothing but their weight, youve gota speak up! - In response to such a post, started the campaign - ladies, it doesnt matter what your weight on the scales is because you are not defined by your size!! You are defined by your achievements, your love and compassion, your strength, and your capabilities. You are made up of so much more. Join the movement and share what you weigh. -",0
"Ladies and gentlemen, no more. Air Canada has changed its standard introductory greeting to address customers as everybody or tout le monde, in an effort to be more inclusive. The switch to gender-neutral pronouns was announced in an internal memo to company employees over the weekend, according to La Presse. We want to ensure an inclusive space for everyone, including those who identify with gender X, reads the memo. . . . . . . . . . . . . . . . . . . . . .",0
"Ewww Bodhi! Boys are so gross! Can't you see I'm taking my modelling seriously?  This boy is so enthusiastic with life that even Whiskey reluctantly gives in after half an hour of incessant loving.  Here's to those who give us kisses and love even when we feel like we don't need them. (In a nice not way , maybe Whiskey wouldn't agree )  ",0
"New research says that women ask for raises as often as men do, but they are more likely to be refused. Source",0
"""Research published in 2018 by Boston Consulting Group found that although on average female business owners receive less than half the level of investment their male counterparts get, they produce more than twice the revenue. For every dollar of funding, female-owned start-ups generate seventy-eight cents, compared to male-owned start-ups which generate thirty-one cents.""   - Caroline Criado-Perez, authoer of ""Invisible Data Bias in a World Designed for Men""  ",0
"While Indias laws that specially protect women from sexual harassment go back less than six years, heres a look at its main provisions. Keeping these in mind can and will help those on either side. . . . Share your thoughts on 'sexual harassment in workplace' in th comments below. . . .",0
. If you can feel you have betrayed yourself then that is step one on the road to healing. Theres a level of shame involved in betraying yourself. Please be kind to yourself and compassionate. . . . . . .,0
      YOU GET IN LIFE WHAT YOU HAVE THE COURAGE TO ASK FOR ,0
Having fun yesterday s plastic free living workshop with and  Made my first cleaning soap and a cute bag for bio trash with my sister          ,0
*insert a sad Radiohead song* . . . . .,0
"And later that day.... he looked straight at me, held my gaze, then ran away. I shall never forget him ",0
Behind The Scenes Footage Of My Photo Shoot Thanks To Babe,0
Artwork by - Unfolding. . . .,0
"Yeah. That's what I forgot to mention while I was on this beautiful trip to Mcleodganj. And yes, you can call me whatever for sharing this particular with you! 'Muktimorcha' to 'frustu', whatever. I preserved this picture out of the whole lot. Say hello to those who made sure that we worry about 'safety and security' rather way too much than required, because obviously we are girls...and then we're in India and rather stupid too, for travelling 'alone' and crazy shits to trek our way up a waterfall. Yes, they were chased away by the police! But episodes of general harassment continued for the next three days perpetrated by different men, at different points while we were exploring the place. Hence, the bright paint of frustration on my friend's face! I wonder why such contradictary events occur when are claimed to be alike. Really confused...and therefore, looking forward to some ...",0
Attitude Is Like A Price Tag It Shows How Valuable You Are,0
Whoops. As someone who was raised as a girl and has two older brothers this is just the most relatable thing. So yeah fuck gaslighting. ~Luca . . .,0
Had the biggest bunch of flowers Ive ever seen delivered to me at work yesterday  .... BUT !! dont envy me too much ! .. he was in the dog house ,0
"HVNGRY. I've been hinting at this a few times... now I can officially share my NEW project with you! . HVNGRY is a series of events featuring a brand new series of photo portraits, performances, live music and workshops. It's an attempt to deconstruct gender stereotypes and create an open space for a playful exploration of alternative representations of women and non-binary people, their diverse gender expressions and sexualities - far beyond heteronormative gender binaries and roles. . . CATCH US 9th of November at the BWIE Awards Ceremony in Geneva. . 29th of November at La Datcha in Lausanne. . 13th and 14th December at Alpagai in Sion. . Please follow my stories and Facebook posts for more details. More dates are coming in 2020...! . . So much love for my wonderful team and many thanks to everyone involved in this Teresa Vittucci, Lucia Gugerli, Hazbi, Sascha Rijkeboer, Reut Nahum, Giulia Essyad, Nayansaku Mufwankolo, Nina Nana, Ivy Monteiro, Sandrine Thomas, Sandrine Cina and of course Nico! . Thank you as well to our partners and BWIE - Gender Projects Incubator, Be You Network, NYX Professional Makeup, SPIELACT Festival, Fonds Respect by Pink Cross, TGNS and LOS, Fondation milie Gourd, Pour-cent Culturel Migros and Fondation Oertli. . . .",0
Poser of life TREAT EVERY CHILD RIGHT AND KIND. Follow and to shop your baby apparels. Send us a DM for a feature.,0
Personalised cutouts Size 16*20 inch 12 pics 1 name Price- 1499 Plus shipping product available on our page or hub at minimum prices soo follow this page and share as maximum as you can and contact 8755437771 /7895610369 /8171375375 for any QUERY . (Esc) Fb link Instagram link,0
"Its been a while since I mopped up the floor with my sweat and tears. The summer hamstring injury is feeling and Im beginning to forgive myself for the past. Monday I spent the day sick in bed and woke up crying with recurring dreams of a few things I never wanted to think about again. But today theres less of me thinking its what I deserved, that I shouldve done something different, or that I couldve been more aggressive. Instead, Im allowing myself more compassion with the knowledge that I was terrified and had no control. I didnt have the tools or the leverage to do something different at the time. So, here I am, putting the pieces back together so I can accomplish more.",0
"WBFF fitness model ! Wearing .. Awsome to hang and shoot brother , cant wait for out next couple of shoots happening !",0
Hustle Until Your Haters Ask If Youre Hiring.,0
"Lehenga - Net, Choli -Net & Silk, Dupaata - Net Lehenga - Waist - Upto 38 in , Choli - 0.8 Mtr, Dupatta - 2.2 Mtr Lehenga - Up To 41 in 3.5 Mtr Lehenga - Semi Stitched, Blouse - Un-Stitched It Has 1 Piece Of Women's Lehenga,1 Piece Of Blouse & 1 Piece Of Dupatta Embroidered",0
Your reputation may be dirty but your identity is not affected!,0
". TEASE . Special thanks and dedicated to the beautiful Simone ( ) for both inspiring this and helping out with some pose reference. . Pillow & Lucky is a cartoon series about hard life on the fringes of society. A ""do what it takes"" Blonde, a stray cat, their friendship, their hustle and their philosophies on life at street level. . .",0
Another addition to my gin bar just need the dickhead of a workman to turn up and sort it,0
"So we are on the ferry home and we were in the restaurant... says Ill go and see if there is any empty seats in the bar... so off he goes, then calls me and says there are loads of seats. I go down to the bar, no sign of Dan. As I go to ring him he rings me asking if Im lost. No Im in the bar that you said you were in... turns out he wasnt in the bar at all... he was in the bloody family lounge. Thanks for letting me walk around looking a tad silly",0
Tis the season ta slut shame him... I'm just saying ,0
"I love a good workout in the morning. So you just stretch and flex, pull and pump in that little red underwear of yours working on that sexy body and I'll order some breakfast in bed to enjoy the view. We feature fans & we promote LOVE!",0
"When the industry tried telling you that you couldn't take the monotony in the industry by storm but you already knew you just had to pushover the 1st one. ""Looking fresher than new money movement is on the global radar. no",0
"I don't want a perfect relationship,,I just need someone who never giveup on me""... Hold My Hand and I will prove that Not everyone Leaves"" Relationship goals be like Im with you it means im only with you Follow ",0
Its the perfect mix.  - ,0
"Tweek; lets try not to talk about him, please....",0
Tell me what you want to do . . . .,0
First things If you are or a or a yall can fuck right off.,0
After BIBCO teachers and speakers are treated to an awesome and delightfully delicous dinner. It was a wonderful evening. Thank you Heidi and all i,0
"Healing will only take place in a safe environment. Once the toxic people in your life are removed, you can finally breath and think clearly about your next move. Its then that you can acknowledge the abuse for what it was without having to numb your feelings or become guilt tripped by the person who abused you.  Walking in truth starts with getting to a safe environment, where you can process what youve gone through and see the possibilities of where you can go. Its amazing what you can do when you actually feel safe.",0
When your uncle comes to your house,0
"How many times do we have to share our stories until we are believed? Ive been sharing mine since I was eleven, Im almost fifty.",0
"However, her comments about that pizza delivery guy was more or less same as Priyanka Chopras Are you done venting? Wanted to know what happened? Link in bio. . . . . . . . . .",0
"""You don't have to tolerate any behavior you don't like."" . . . . .",0
"Velvet Lips, Mahagony & Powder Blush . .",0
"Dear Friends, I just signed the Ask about ! It would mean the world to me if you could also add your name to this important issue. Every name that is added builds momentum around the campaign and makes it more likely for us to get the change we want to see. Will you join me by taking action on this campaign? After you've signed the petition please also take a moment to share it with others. It's super easy  all you need to do is forward this email. Thank you!",0
Baby you light up my world like nobody else. . . . . . . . . . . .,0
DAY WILDMr. Wild West with big ol wild Barely made it for todays tober!!,0
Caught me on a bad day. I don't usually engage but TODAY. Just cause I didn't like how I was being talked to nor the sexism this asshat embodies. Merced ladies beware of Jermaine...,0
"If faces were bleeding, someone would do something THIS SATURDAY is the first-ever . On October 19, is hosting rallies in all 50 states to demand menstrual equity and an end to the . Come to the Seattle rally at Cal Anderson Park at 12 p.m! This PSA was made in collaboration with and ! .wsucougs .kamiak .nws . NationalPeriodDay",0
come for a slice of this cake.  ,0
Did you know? Women arent the only ones who get raped. Studies show that male college aged students (18-24) are 78% more likely than non-students of the same age to be a victim of rape or sexual assault. Rainn   ,0
"I enjoyed this about as much as I enjoy people wandering about the gym in bare feet. We didn't evolve to deadlift in a basement. Put your fucking shoes on. . . 5 x 4 mins max m, 1 min rest = 4k in 20 minutes. Plus an extremely natural pose .",0
"The debate between what is considered a stereotype and what is prejudice is involved and ongoing. Why is it acceptable to stereotype women, POC, LGBTQIA etc but the second you generalise men being shit we hear NOT ALL DAVES!!! IVE NEVER RAPED A WOMAN!!! IM A NICE GUY!! WOMEN DO THAT TOO!! Hmmm its like the only acceptable generalisations are for non-white, non-straight, non-men. Like Im so bored of this ignorance. Im constantly receiving abuse, harassment and being mansplained to because of this account and it only spurs me forthwith into fighting you rape-culture-facilitators more! They call me a cunt and tell me to suck their dick whilst they tell me Im angry and damaging their world. No Dave, you just know every woman I bring over to the dark side means one less woman willing to put up with your shit!",0
Tanned this beautiful lady on the right a while back. Check out her amazing golden glow DM to make a booking. I am now accepting bookings for 2020 as I got myself a diary and I know some of you early birds like to confirm things in wedding season . . . . .,0
Class on Tuesday was a vibe! Thank you for those who attended! This was a flow! Lol come out next Tuesday! Doing another Contemp class. However I change it up so stay tuned to whats in store! . . . . . . . . . . .,0
"All for you, a little bit of innocence. I wish you had, I wish you had, I wish you had. You took me and I gave you forever.. let me give you more.",0
"Patriot Act  . . . Follow for feminist art, clothing and community  . . .",0
"If Someone is Dumb Enough To Walk Away From u, Be Smart Enough To Let Them Go * * * ...",0
"Yo Why does your products have a gender? Does a still mensturate? Do mensturate? Do use it for ? Don't be and . You produce glorified bloodpacks for butchers, the least you can do, is be inclusive to and not your products. Thanks.",0
"Sometimes, we're so stupid! We need to stop it. Put your paw up if you're going to stop doing this! . Xx Kit . ",0
And if anyone should ask me the reason why Im wearing it,0
      T H U R S D A Y joins us in for another ... Come and for an Doors at 1AM ... Oct 19/20,0
"3,999 1-5years As seen To order WhatsApp 08036627156 or send a DM Payment before delivery. Delivery takes 7-14days Nationwide delivery available.",0
If youre not on TikTok yet you should be and if you are why arent you following .the.scum ?!?,0
On The High Roller In Vegas,0
Who's ready for the Weekend?! . .,0
"Challenging sexist attitudes, on and off the court.",0
"The dark angel Photo Me (.model) Waterloo, ON",0
Hoodie overall for the little baby. Unisex Age! 3months,0
Behave yourself. Slut-shaming is not cool. (we were talking about this the other day),0
Happy Friday! May your weekend be relaxing and mansplain free,0
"Who thinks oh, someone is asking me for directions, let me say something completely inappropriate and sexual ?! . . .",0
"So I found this picture on and I m thankful. See the light heart imprint in the background? And a naked body. And boldly written. ""I REFUSE TO BECOME WHAT YOU CALL NORMAL"" ""BROKEN ISN'T BAD"" ""HUMAN"" All In all this picture is whole. Every text in this is complete. Every small phrase. Why is a naked girl body showcased here by a line art? And text on her arms and thighs that she is unique. And she is proud of herself. Why are we normalising perfect bodies? Why are we normalising thin Disney like waists, over fair skin and big eyes, slender neck and a sleek nose? Why do we judge people, here, girls, who are ""fat"" (finger quotes), who have a waist size over 40,who are ""dark"", have a big round nose and who wear clothes that she likes, and not the ""society"". And that is, a trend, a big BIG trend, for over so many years now. WHY ARE WE NORMALISING BODY SHAMING. WHY ARE WE NORMALISING SLUT SHAMING. WHY ARE WE NORMALISING IGNORANCE FOR GIRLS WHO STAND AGAINST THESE SHITS. I don't know rest, but every second NORMAL girl goes through this. Body shaming. Slut shaming. In school. I was. Many I know were. And we didn't say anything. I was dumb who stayed quiet all this time. I was dumb who thought it was good to ignore such ill minded people. Let them laugh over the size of my body, let them make fun of how I look. Let them speak shit about me every fucking time. I never said anything. I was dumb. I should have said that. But I didn't and I regret that. Just because I didn't say anything to those sexually shaming bullies then, that might ve made them say same or even worse about / to other girls I may or may not know. This...is something very near to a breakdown. This is something like...""God,why?"" I heard them daily. Passing such cheap comments and I was always quiet about it. I hate myself for that. But now I am not. I am saying this on my public account. Yes, those animals can see it too, and can laugh it off by again calling me slut and what not. But if you're someone going through this at school, at home, at any place, stand up and speak. There is nothing to be afraid of. Speak up, have courage.",0
"Public Service  . . . Follow for feminist art, clothing and community  . . .",0
"Im not a prince, Im a",0
*correction* EVERYONE will be help accountable for their actions,0
"No matter what, you are loved Happy ",0
"selective seeing, because i gouged out my eyes just to be with you;; . Follow or for more . . . . . . . .",0
"13 October 2019 Could discuss how lovely Nice is, could discuss how crackin this hot chocolate was, could even discuss being held on the tarmac whilst a drunk moron was removed from the plane (thanks for the two hour delay mate). But really, todays caption needs to focus on two things. 1) My awesome sister loudly telling the other moron on the plane where him and his outrageous misogynist comments needed to go. Thats my girl 2) The pigeon photobombing this photo. Top work pal.",0
"Taapsee Pannu is one of the strongest heroines in the industry and in this hard hitting video, she talks and discusses 24 sexist things every actress hears at every point and stage in their lives. . . . . . . .",0
"EXCITING ANNOUNCEMENT Laura Bates is back again with her new book, MEN WHO HATE WOMEN. For over a year has immersed herself in a terrifying and shocking world of violence and hatred that is actively and directly causing mass murders of women. In this ground-breaking investigation, Laura traces the roots of extreme misogyny across a complex network of online groups extending from Men's Rights Activists and Pick up Artists to Men Going their Own Way, Trolls and the Incel movement, in the name of which some men have committed terrorist acts. Seeing boys and men groomed and radicalised to adopt an extreme and misogynistic mindset, Laura has spent months drawing parallels with other extremist movements around the world, seeking to understand what attracts men and boys to the movement, how it operates and considers what can be done. Most urgently of all, Laura traces the pathways this extreme ideology has taken from the darkest corners of the internet to emerge covertly in our mainstream media, our playgrounds and even our parliament. Publishing in May 2020, you can pre-order now.",0
What are you thoughts on this?,0
"Amigos les comparto un nuevo trabajo realizado en y , .ecuatorianos les invito a mi portafolio, link en mi biografia//Friends I share a new work done in and and to see the process I invite you to my portfolio, link in my biography",0
"We bed men and women to understand the double standards that still exist in this world, and we need to have a real conversation so we can begin to make changes. -Beyonce   ",0
"Dominican children follow their dreams of making the big leagues in Sosua, Dominican Republic.",0
Got to laugh... the only request I asked of Jimmy for his 1st day back at school bearing in mind I handed him all ready 1. New Coat 2. New Tie 3. New shirts 4. Polished shoes 5. New shorts Was a smart picture of him in his uniform ready for school What I got was this picture saying shit sorry I actually took 5 and this was the best one,0
I was walking ... even my shadows were there ... there were so many signals ... but where were the smart people   ,0
"October 16, 2019 New selfie for my social media accounts. Well... that is only this & Twitter. Haha! Im good. Tomorrow, the weather says itll be a-ok for a run in the morning. CROSSING MY FINGERS! To you fellow runners, you get it. Its a necessity. An addiction. Not an obsession or anything unhealthy. Running is my health. Mentally, for two hours, I am free. No Multiple Sclersis, ankle surgery, knee surgery, no rape. Im FREE from lifes bullshit & it feels AMAZING.",0
"baby, im sorry. i hope you never go through what i have. . Follow or for more . . . . . . . .",0
"The less you give a damn, the happier you will be",0
"Meet Emily, she spoke to a staff member of U.S. Senator Martha McSally about her story being a survivor of sexual assault  and why McSally needs to VOTE NO on Steven Menashi, someone who has a history of dismissing and mocking sexual violence, for U.S. Circuit Court. . . .",0
"Just me? Jesus H Christ on a bike its hard. Tell me Im not the only one not seeing stars / hearts / butterflies and instead seeing red on a daily basis. How do you be nice when you actually want to smash their face in? Whats the answer to till death do us part when you struggle to be in the same room without sparks flying? Any tips, words of wisdom, insights or voodoo magic eagerly received. People Im all ears! Hit me up! . . . . . . , . . . . . . . . . , . .",0
Women are badass! We need no special caption to prove our worth! . . . . . . . . . . .,0
"I feel like I caught her at the perfect moment - P.S I FEEL THIS, LIKE LEGIT. One minute you're fine then the next you're just DONE. -",0
 Wedding box > small box (8x8cm) . . .,0
Who would leave a bloody electric circular saw at the bottom of the stairs???,0
"until the end, baby.  ",0
RED MUG PRICE-399 Plus shipping product available on our page or hub at minimum prices soo follow this page and share as maximum as you can and contact 8755437771 /7895610369 /8171375375 for any QUERY . (Esc) Fb link Instagram link,0
Cant wait to devour this piece of history. I support all of the brave women who have shared their stories.,0
"These stats from RAINN are heartbreaking. How many sisters and brothers are out there hurting? Without community? Without people who understand them? Lets find them and bring them home. . . Who can you tell right now that you love them, that you support them, that you believe them? Is it you? Is it a friend? Both? Say it to all who need to hear it. . .",0
"Day 11 of VAMPIRES!!! In this case Tory vampires draining the NHS, Education, welfare payments, housing and social services. Theyve drained the life blood of our society. Also whilst ploughing billions into pushing through a decision to leave the EU made by only just over half of those who voted. It was a decision that no one fully understood and should never have been put to public vote without proper education as to the impact of leaving Europe. Terrifying times when the vampires are in charge.",0
I've been sleeping on bloody sofa cushions for the past two nights then this fucker rocks up after been away for the week with a cot bed - bloody living in luxury . .,0
"""The best view comes after the hardest climb."" -iwanberi",0
Theres a great difference between briefly guiding someone in the right direction and being downright creepy. - Liz . . . .,0
"This ones for bae  . . . Follow for feminist art, clothing and community   . . .",0
Click the link in the bio. Decided to post it on my page since my husband didnt want to . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0
"Priyanka Chopra Jonas might be a woman of steel but like everyone else, she's human too. Her struggles are for real and in the last 18 years, the actress has battled several ills in the industry to make it to the top. Today, with one foot in Bollywood and another firmly positioned in Hollywood, she's ruling the roost and how. But it wasn't anything short of a bumpy ride for her. From fighting racism in the West as a teenager to sexism here in Bollywood where PC claims she was called 'replaceable' and was thrown out of several films, Priyanka has come a long way. Talking about her entire journey, she also adds that she doesn't want to come across as a victim and it shows. Watch the full video to find out. . . . . . .",0
"31st October, 10000/. Raju's Bar Bugolobi",0
Welcome to Denmark  . . . . . . . . with .cph,0
I know this is late but fuck trump WMF x,0
"Estoy aqu por un buen rato, no por mucho tiempo "" If you wanna know what is this then translate ",0
If i thought last time building a cot while pregnant was difficult and resulted in me nearly killing my husband... try throwing a toddler into the mix and a more pregnant me!! That shoulda been a game on ...thank christ we never have to do that again!!,0
"The 1979 Convention of Elimination of All Discrimination Against Women, CEDAW, was the first international treaty aimed to protect women, issued by the UNs General Assembly. -",0
"Leather ""SLUT"" red paddle ( For slaves that enjoy dirty talks ) Do you want to learn how to speak properly in a bdsm session ? workshops",0
Love your self and your own company first.,0
Theres always one who would this be great for!?!?,0
"The priest had raped her many times at the church when she was 6 years old. Her parents found it out, but didn't take any action. Why? They didn't even acknowledged her that they were sorry. This is a recent but not a rare case which occured in Sweden.",0
"If you would break down your goal into smaller steps, what would step  ",0
I lit all the candles this evening so when I came down from putting the boys to bed...thered be instant calm & zen & all things chilled........(my week has been mental!)....only came home before I came down & blew them all out,0
"It seems they had always been, and always would be, friends. Time could change, but not that.",0
"Lads seems they start sitting like this from a young age, before they take over the tube seats that is!",0
Enjoying the tour Efx. . .,0
Credit to They aren't so dumb after all,0
"Currently listening to this. Masie Hill talks about periods, busting myths, and sharing facts. Masie discuss periods in the first episode with three men which I think is really interesting as men and boys are often left out of the conversation. As someone who identifies as a woman I still felt included in the discussion and learnt things but think this could be a great place for men especislly (cisgender men) to learn about periods in a funny, friendly way. * * *",0
